REF_DATE;GEO;Type_of_dairy_product;Type_of_disappearance_of_dairy_products;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;DECIMALS
1920;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1920;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1920;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1920;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1920;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1920;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1920;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1920;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1920;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1920;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1920;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1920;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1921;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1921;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1921;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1921;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1921;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1921;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1921;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1921;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1921;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1921;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1921;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1921;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1922;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1922;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1922;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1922;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1922;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1922;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1922;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1922;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1922;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1922;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1922;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1922;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1923;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1923;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1923;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1923;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1923;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1923;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1923;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1923;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1923;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1923;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1923;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1923;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1924;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1924;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1924;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1924;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1924;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1924;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1924;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1924;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1924;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1924;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1924;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1924;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1925;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1925;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1925;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1925;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1925;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1925;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1925;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1925;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1925;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1925;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1925;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1925;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1926;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1926;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1926;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1926;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1926;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1926;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1926;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1926;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1926;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1926;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1926;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1926;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1927;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1927;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1927;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1927;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1927;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1927;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1927;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1927;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1927;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1927;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1927;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1927;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1928;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1928;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1928;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1928;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1928;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1928;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1928;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1928;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1928;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1928;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1928;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1928;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1929;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1929;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1929;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1929;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1929;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1929;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1929;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1929;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1929;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1929;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1929;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1929;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1930;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1930;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1930;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1930;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1930;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1930;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1930;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1930;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1930;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1930;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1930;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1930;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1931;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1931;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1931;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1931;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1931;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1931;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1931;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1931;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1931;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1931;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1931;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1931;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1932;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1932;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1932;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1932;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1932;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1932;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1932;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1932;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1932;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1932;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1932;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1932;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1933;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1933;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1933;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1933;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1933;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1933;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1933;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1933;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1933;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1933;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1933;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1933;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1934;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1934;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1934;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1934;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1934;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1934;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1934;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1934;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1934;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1934;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1934;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1934;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1935;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1935;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1935;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1935;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1935;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1935;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1935;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1935;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1935;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1935;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1935;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1935;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1936;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1936;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1936;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1936;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1936;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1936;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1936;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1936;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1936;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1936;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1936;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1936;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1937;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1937;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1937;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1937;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1937;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1937;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1937;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1937;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1937;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1937;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1937;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1937;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1938;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1938;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1938;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1938;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1938;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1938;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1938;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1938;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1938;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1938;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1938;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1938;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1939;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1939;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1939;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
